allele,p.value,p.adjusted,estimate,std.error,conf.low,conf.high,statistic,Ntotal,Ntotal.percent,N(NeuropathDiagnosisConcensus=0),N(NeuropathDiagnosisConcensus=0).percent,N(NeuropathDiagnosisConcensus=1),N(NeuropathDiagnosisConcensus=1).percent
B*15,0.002845482298384738,0.17926538479823848,7.317591637133974,0.6669943027822856,2.2367921527989245,33.24211853862746,2.983955416432209,20,8.26%,3,2.59%,17,13.49%
C*03,0.045835184661049896,1,2.4316689677212295,0.4449768676996797,1.0370741394750356,6.01628451761618,1.9969079385782964,31,12.81%,10,8.62%,21,16.67%
B*07,0.09142183862209777,1,0.47466410169510825,0.441452770960298,0.19468600321517976,1.1128198148117385,-1.6879447325796861,30,12.40%,18,15.52%,12,9.52%
B*51,0.09993031131240268,1,3.161698369935236,0.6996810357305046,0.8776236166159654,14.966856761763841,1.6451915705532771,12,4.96%,3,2.59%,9,7.14%
A*31,0.10761461154909276,1,3.848921635085683,0.8376546840315136,0.8571431565731883,27.11340634086656,1.6090079121818386,9,3.72%,2,1.72%,7,5.56%
A*29,0.10919288349294912,1,0.2559619934124639,0.8507301424055387,0.03568310439452024,1.1921925829020246,-1.6018314631519068,8,3.31%,6,5.17%,2,1.59%
B*37,0.13802386034957936,1,5.2874353942558185,1.1228049004622487,0.7934184975343197,104.22021931079735,1.483190289810533,6,2.48%,1,0.86%,5,3.97%
C*15,0.166892280730221,1,3.2237320071304647,0.8468311271318905,0.6947728735894393,22.931946524794917,1.3822587046541925,8,3.31%,2,1.72%,6,4.76%
DRB1*13,0.17203331327846205,1,1.964451081592971,0.4944080870580773,0.7601139850967866,5.393474675069488,1.3656994620057865,22,9.09%,8,6.90%,14,11.11%
DQA1*04,0.17550309608176792,1,0.30176337106758017,0.8843907796423988,0.04001669299244351,1.5294006019951936,-1.3547315686970067,7,2.89%,5,4.31%,2,1.59%
DQB1*04,0.17550309608176792,1,0.30176337106758017,0.8843907796423988,0.04001669299244351,1.5294006019951936,-1.3547315686970067,7,2.89%,5,4.31%,2,1.59%
DQB1*03,0.1870036329267885,1,1.64251565206445,0.37607489765565477,0.787613187206387,3.4560413206466665,1.3194951426956874,69,28.51%,29,25.00%,40,31.75%
A*30,0.19227494031983927,1,0.22725441895492185,1.1363672782381846,0.0113949384804434,1.605301670165621,-1.3038787099401612,5,2.07%,4,3.45%,1,0.79%
A*68,0.20684531691016841,1,2.10728712475063,0.5905162953658996,0.6860396893523183,7.27120976205729,1.2622876002233037,15,6.20%,5,4.31%,10,7.94%
B*40,0.21218277636658647,1,0.4452612069962458,0.6485278833776614,0.11209501832693759,1.522711409461157,-1.2475858135728821,12,4.96%,8,6.90%,4,3.17%
A*11,0.22600661155001708,1,1.8798256460535792,0.5213297070642046,0.6904017549813556,5.477424190652502,1.210709887672884,19,7.85%,7,6.03%,12,9.52%
A*32,0.24432084117971448,1,3.7710484543535188,1.1400882975591524,0.5287717169152419,75.4998440864973,1.1642546197876305,5,2.07%,1,0.86%,4,3.17%
DPB1*03,0.26491942962321663,1,0.583013991443533,0.4839659395270349,0.2192994615454097,1.491551367120461,-1.114838978960763,22,9.09%,13,11.21%,9,7.14%
C*05,0.3210140227434599,1,0.64109378001916,0.44799493391837114,0.2618468551257257,1.535095034166395,-0.992376244508315,28,11.57%,16,13.79%,12,9.52%
C*06,0.3420497148466943,1,1.5908315198022458,0.4886281109998311,0.6159837315149438,4.264141035010177,0.9501230844269928,23,9.50%,9,7.76%,14,11.11%
DPA1*02,0.3521715624736062,1,1.441059756452362,0.39271765796807495,0.6696914322489673,3.143174513883206,0.9303854244463602,41,16.94%,17,14.66%,24,19.05%
B*08,0.35899584442260807,1,0.6373769347702439,0.4910103559356868,0.2371549084697874,1.6585623546978387,-0.917280172684382,22,9.09%,12,10.34%,10,7.94%
DRB1*08,0.35924259795866503,1,0.4918205054168059,0.7740339068141059,0.09332472356398949,2.169123614447823,-0.9168092627422865,8,3.31%,5,4.31%,3,2.38%
C*07,0.37142958009154226,1,0.7126136893826637,0.3790739435688217,0.33628179821480764,1.4934219313416277,-0.8937987463149475,59,24.38%,30,25.86%,29,23.02%
C*12,0.37387922157616993,1,0.5536146978918104,0.664941580847607,0.1362410183568743,1.979623408450524,-0.8892304864095477,11,4.55%,7,6.03%,4,3.17%
DRB1*11,0.40589296213193077,1,1.5529664741635543,0.5295924536008672,0.5570622963851137,4.574940717853168,0.8311428026430753,18,7.44%,7,6.03%,11,8.73%
B*27,0.4287567197458163,1,0.6097123668203541,0.6252430900030648,0.16811863835963717,2.0593704239324566,-0.7913209609724589,12,4.96%,7,6.03%,5,3.97%
DRB1*01,0.436597618047785,1,0.7144857998065975,0.43215054544775655,0.30246797493180033,1.6647325060711085,-0.7779514793157318,29,11.98%,16,13.79%,13,10.32%
DQA1*05,0.46932131650378817,1,1.3178974558234422,0.38148676998955255,0.6250674338880521,2.8039659433611264,0.723583756772758,46,19.01%,20,17.24%,26,20.63%
DQA1*03,0.47485559046294396,1,0.757174804933027,0.3892537393575235,0.35021571967694554,1.620985167330314,-0.7146010585588201,43,17.77%,22,18.97%,21,16.67%
DRB1*04,0.47485559046294396,1,0.757174804933027,0.3892537393575235,0.35021571967694554,1.620985167330314,-0.7146010585588201,43,17.77%,22,18.97%,21,16.67%
B*18,0.530330165485351,1,0.6523141292693594,0.6808408216730699,0.15725030936683304,2.446500187412495,-0.6275020917119373,10,4.13%,6,5.17%,4,3.17%
DQB1*06,0.5451541519540843,1,1.2581499654296109,0.379550691490334,0.5987832045046719,2.664960976418391,0.6050373921732849,47,19.42%,21,18.10%,26,20.63%
A*25,0.5578745365407698,1,0.670502097645504,0.682128762364839,0.1613593969273191,2.522550056969627,-0.5860014557955299,10,4.13%,6,5.17%,4,3.17%
C*04,0.5966493180980186,1,1.3052198009049794,0.503323566222041,0.4870149833002651,3.578433393164863,0.5292250835850658,20,8.26%,9,7.76%,11,8.73%
DPB1*11,0.6114119536913061,1,0.621528848117435,0.9360584775241212,0.07910202697491645,3.9139854267625775,-0.508059019393567,5,2.07%,3,2.59%,2,1.59%
DRB1*15,0.6269124260982837,1,0.8203343933593276,0.40743162178623465,0.3666099585205453,1.8256848165354886,-0.4860772077592576,35,14.46%,18,15.52%,17,13.49%
A*24,0.6487148269232512,1,0.7842396038887486,0.5335124454801063,0.2689270860364421,2.2419425712714385,-0.45554830103242705,17,7.02%,9,7.76%,8,6.35%
C*16,0.6652529953340659,1,1.3443734900666446,0.6839546438176695,0.35458461041575745,5.5948134396704265,0.4326721085458068,10,4.13%,4,3.45%,6,4.76%
B*14,0.6736899222179539,1,1.3458641604090642,0.7053999025538233,0.3342005606917238,5.773252110826202,0.4210892347873252,9,3.72%,4,3.45%,5,3.97%
C*08,0.6736899222179539,1,1.3458641604090642,0.7053999025538233,0.3342005606917238,5.773252110826202,0.4210892347873252,9,3.72%,4,3.45%,5,3.97%
DPB1*02,0.7141371830822953,1,1.1826255474315979,0.45791570692210537,0.4823319561191459,2.9480083585208487,0.36630542347007605,26,10.74%,11,9.48%,15,11.90%
A*03,0.7249680872912161,1,1.1571336844542774,0.41482327726531487,0.513495965786763,2.634841321761103,0.35182689491046565,33,13.64%,15,12.93%,18,14.29%
B*35,0.7581939105229248,1,1.170749828812686,0.5120763300601716,0.4270935786209285,3.2529230143873233,0.3078533679593561,19,7.85%,9,7.76%,10,7.94%
A*01,0.77255051033932,1,1.122871315253893,0.40094431285340226,0.5108791313130375,2.4788404105674298,0.2890403363219838,38,15.70%,17,14.66%,21,16.67%
DRB1*14,0.7771959367633163,1,0.7651796140462278,0.9458242021867979,0.09601027325660216,4.908037227707381,-0.2829750840511851,5,2.07%,3,2.59%,2,1.59%
DPB1*04,0.7967753292488584,1,0.8598006696050591,0.5865685740162514,0.2609509419705886,2.7071466946624927,-0.2575226543323575,106,43.80%,52,44.83%,54,42.86%
B*39,0.819028037614031,1,0.8226787366337004,0.8531186188887238,0.14228030532011465,4.714412448112839,-0.22879527729437807,6,2.48%,3,2.59%,3,2.38%
DPB1*05,0.825904722138875,1,1.1679570865525464,0.705848024658342,0.28913420956741775,5.007562813745141,0.21995689913694083,9,3.72%,4,3.45%,5,3.97%
B*44,0.8591199362200892,1,1.076131269883597,0.41337859286804207,0.4779888610253826,2.4373792163190102,0.1774945621215137,34,14.05%,16,13.79%,18,14.29%
DPB1*01,0.8600083550893365,1,1.1337448226067026,0.7117466772951218,0.27610052226178683,4.900283017184532,0.17636352909229028,9,3.72%,4,3.45%,5,3.97%
C*02,0.8836728705087731,1,0.9068622833470453,0.6681803034841337,0.2361443329237594,3.4754500037046117,-0.14631481567222174,10,4.13%,5,4.31%,5,3.97%
DQA1*02,0.8990559195330173,1,1.051497870596488,0.3958540783820338,0.48291984234162333,2.2954122707317,0.12685404493868618,39,16.12%,18,15.52%,21,16.67%
DRB1*07,0.8990559195330173,1,1.051497870596488,0.3958540783820338,0.48291984234162333,2.2954122707317,0.12685404493868618,39,16.12%,18,15.52%,21,16.67%
DRB1*03,0.9126050907536937,1,0.9508314935184589,0.4593798726296578,0.38367648714028124,2.358934937175471,-0.10975322139645877,25,10.33%,12,10.34%,13,10.32%
DPA1*01,0.9177973728392145,1,1.159962387223551,1.4377436010241915,0.04448782085078853,30.259543571102007,0.10320865255779174,119,49.17%,57,49.14%,62,49.21%
C*01,0.9213191601036449,1,0.9409635848505079,0.6160726678392594,0.27407058090082254,3.2295645557515367,-0.0987721768460454,12,4.96%,6,5.17%,6,4.76%
A*02,0.9275516586682249,1,0.96697290486161,0.3693655088183753,0.46756321771361864,1.9976462484326294,-0.09092566282204922,60,24.79%,29,25.00%,31,24.60%
DQA1*01,0.934178394102424,1,0.9694158168444713,0.376099254557371,0.4625324632197478,2.030458852035629,-0.0825889421739269,72,29.75%,35,30.17%,37,29.37%
DQB1*05,0.9490900881690649,1,0.9739655869386667,0.4131484276830362,0.4321625598780165,2.2011625424760286,-0.06384946881406432,34,14.05%,17,14.66%,17,13.49%
B*55,0.9575917786744067,1,0.955940567071957,0.8473680514147105,0.16757746741996746,5.437231651224488,-0.05317587336790831,6,2.48%,3,2.59%,3,2.38%
DQB1*02,0.9750514853386184,1,1.0120786184236625,0.3839123719301682,0.4752987222125192,2.1529905934240916,0.03127342309101687,47,19.42%,22,18.97%,25,19.84%
B*57,0.9863813264849107,1,1.0103225939150489,0.6016460442666307,0.30632167119620074,3.394025745909481,0.017069304900494735,13,5.37%,6,5.17%,7,5.56%
