chr,start,end,value
chr6,32004548,32004679,0.12
chr6,32004866,32004997,0.12
chr6,32005161,32005267,0.12
chr6,32005267,32005292,0.37
chr6,32005292,32005398,0.25
chr6,32005823,32005954,0.12
chr6,32006731,32006862,0.12
chr6,32008279,32008410,0.12
chr6,32009366,32009497,0.12
chr6,32011546,32011615,0.12
chr6,32011615,32011677,0.5
chr6,32011677,32011746,0.37
chr6,32014210,32014341,0.12
chr6,32014664,32014795,0.12
chr6,32014907,32015038,0.37
chr6,32015061,32015192,0.25
chr6,32015661,32015680,0.25
chr6,32015680,32015792,0.37
chr6,32015792,32015811,0.12
chr6,32015860,32015880,0.12
chr6,32015880,32015991,0.37
chr6,32015991,32015999,0.25
chr6,32015999,32016011,0.5
chr6,32016011,32016057,0.25
chr6,32016057,32016066,0.5
chr6,32016066,32016072,0.62
chr6,32016072,32016074,0.75
chr6,32016074,32016098,0.87
chr6,32016098,32016118,1
chr6,32016118,32016125,1.49
chr6,32016125,32016130,1.62
chr6,32016130,32016142,1.37
chr6,32016142,32016147,1.49
chr6,32016147,32016154,1.62
chr6,32016154,32016184,1.74
chr6,32016184,32016188,1.99
chr6,32016188,32016196,1.74
chr6,32016196,32016197,1.99
chr6,32016197,32016203,1.87
chr6,32016203,32016205,1.74
chr6,32016205,32016229,1.62
chr6,32016229,32016249,1.49
chr6,32016249,32016256,1
chr6,32016256,32016273,0.87
chr6,32016273,32016278,0.75
chr6,32016278,32016285,0.62
chr6,32016285,32016315,0.5
chr6,32016315,32016327,0.25
chr6,32016335,32016368,0.12
chr6,32016368,32016458,0.25
chr6,32016458,32016466,0.87
chr6,32016466,32016499,0.75
chr6,32016499,32016511,0.62
chr6,32016511,32016585,0.87
chr6,32016585,32016589,1.12
chr6,32016589,32016642,0.5
chr6,32016642,32016716,0.25
chr6,32016779,32016896,0.12
chr6,32016896,32016908,0.37
chr6,32016908,32016910,0.5
chr6,32016910,32016943,0.37
chr6,32016943,32017027,0.5
chr6,32017027,32017039,0.25
chr6,32017039,32017074,0.12
chr6,32018142,32018273,0.12
chr6,32018468,32018599,0.12
chr6,32018961,32019092,0.12
chr6,32019370,32019491,0.12
chr6,32019491,32019501,0.37
chr6,32019501,32019622,0.25
chr6,32019761,32019801,0.12
chr6,32019801,32019881,0.37
chr6,32019881,32019892,0.62
chr6,32019892,32019902,0.5
chr6,32019902,32019932,0.62
chr6,32019932,32020012,0.37
chr6,32020012,32020024,0.12
chr6,32020024,32020033,0.25
chr6,32020033,32020155,0.12
chr6,32020418,32020432,0.12
chr6,32020432,32020549,0.25
chr6,32020549,32020563,0.12
chr6,32020933,32021064,0.12
chr6,32021825,32021940,0.12
chr6,32021940,32021956,0.25
chr6,32021956,32022002,0.12
chr6,32022002,32022024,0.25
chr6,32022024,32022071,0.37
chr6,32022071,32022133,0.25
chr6,32022133,32022135,0.12
chr6,32022135,32022155,0.25
