#"chrom","chromStart","chromEnd"
"chr6","32014501","32015006"
"chr6","32086822","32087321"
"chr6","32096485","32096890"
"chr6","32123235","32123292"
"chr6","32130522","32131711"
"chr6","32132005","32132831"
"chr6","32136825","32137350"
"chr6","32155924","32156251"
"chr6","32162225","32162804"
"chr6","32165442","32165777"
"chr6","32222218","32222224"
"chr6","32241209","32242876"
"chr6","32315181","32315899"
"chr6","32806951","32807450"
"chr6","32819863","32820113"
"chr6","32823002","32823102"
"chr6","32854486","32855017"
"chr6","32935067","32935210"
"chr6","33128637","33129868"
"chr6","33157411","33160509"
"chr6","33161383","33164069"
"chr6","33164878","33165838"
"chr6","33171951","33172125"
"chr6","33177058","33177078"
"chr6","33180920","33181592"
"chr6","33218060","33218372"
"chr6","33282978","33283068"
"chr6","33358530","33358794"
"chr6","33377339","33377417"
"chr6","33379668","33379730"
"chr6","33386741","33387520"
"chr6","33392682","33397307"
"chr6","33398508","33399581"
