#"chrom","chromStart","chromEnd"
"chr6","32096485","32096890"
"chr6","32140589","32142168"
"chr6","32153676","32155727"
"chr6","32156248","32156251"
"chr6","32161137","32162804"
"chr6","32165442","32165744"
"chr6","32212654","32212997"
"chr6","32239042","32239256"
"chr6","32294529","32295367"
"chr6","32403454","32407447"
"chr6","32440400","32442610"
"chr6","32450716","32450957"
"chr6","32489623","32490298"
"chr6","32496978","32497466"
"chr6","32498120","32499309"
"chr6","32551586","32552647"
"chr6","32554594","32555043"
"chr6","32555277","32555825"
"chr6","32556293","32556663"
"chr6","32557807","32558698"
"chr6","32569796","32578981"
"chr6","32583984","32584821"
"chr6","32590472","32590789"
"chr6","32591358","32591661"
"chr6","32594908","32596465"
"chr6","32604388","32605113"
"chr6","32605867","32606284"
"chr6","32631924","32632350"
"chr6","32634600","32637749"
"chr6","32638180","32638633"
"chr6","32658001","32658244"
"chr6","32761512","32763126"
"chr6","32764639","32765727"
"chr6","32784540","32784762"
"chr6","32788891","32789296"
"chr6","32806951","32807171"
"chr6","32810468","32810968"
"chr6","32813700","32813751"
"chr6","32823002","32823369"
"chr6","32835172","32835387"
"chr6","32900801","32906715"
"chr6","32909538","32915192"
"chr6","32918495","32918735"
"chr6","32921247","32921844"
"chr6","32922231","32922456"
"chr6","32935125","32935210"
"chr6","32977840","32978137"
"chr6","32982759","32983899"
"chr6","32984174","32989968"
"chr6","32994919","32999376"
"chr6","33017378","33018862"
"chr6","33024593","33026423"
"chr6","33029279","33030344"
"chr6","33038563","33038600"
"chr6","33041543","33043604"
"chr6","33046082","33046953"
"chr6","33047665","33047992"
"chr6","33049444","33050005"
"chr6","33050270","33050537"
"chr6","33080323","33080524"
"chr6","33082063","33082253"
"chr6","33129156","33130266"
"chr6","33171859","33172125"
"chr6","33175156","33175169"
"chr6","33180737","33181934"
"chr6","33215755","33215775"
"chr6","33240773","33240793"
"chr6","33246024","33246249"
"chr6","33263977","33264167"
"chr6","33282978","33283138"
"chr6","33286342","33286604"
"chr6","33291984","33291996"
"chr6","33312478","33312728"
"chr6","33358518","33358794"
"chr6","33360177","33360249"
"chr6","33377134","33377417"
"chr6","33379668","33379800"
"chr6","33386741","33386842"
"chr6","33392850","33394384"
"chr6","33399353","33399745"
"chr6","33412453","33413991"
"chr6","33417939","33418579"
"chr6","33475937","33477403"
