#"chrom","chromStart","chromEnd"
"chr6","32094873","32096485"
"chr6","32096890","32098924"
"chr6","32115879","32123235"
"chr6","32131711","32132005"
"chr6","32142624","32147273"
"chr6","32156251","32161137"
"chr6","32156251","32161137"
"chr6","32156251","32161137"
"chr6","32162804","32165442"
"chr6","32222224","32224156"
"chr6","32805340","32806951"
"chr6","32810968","32813700"
"chr6","32820113","32823002"
"chr6","32861346","32863683"
"chr6","32935210","32943292"
"chr6","33160509","33161383"
"chr6","33166823","33169579"
"chr6","33172125","33173126"
"chr6","33175169","33177058"
"chr6","33215775","33218060"
"chr6","33238761","33240773"
"chr6","33244267","33246024"
"chr6","33256087","33258235"
"chr6","33264451","33268497"
"chr6","33279682","33282978"
"chr6","33284831","33286342"
"chr6","33289521","33291984"
"chr6","33358794","33360177"
"chr6","33377417","33379668"
"chr6","33384219","33386741"
"chr6","33387520","33389421"
"chr6","33421284","33423195"
